Num_Acc;catr;voie;v1;v2;circ;nbv;vosp;prof;pr;pr1;plan;lartpc;larrout;surf;infra;situ;vma
202000000075;3;17;-1;;2;2;1;2;21;600;1;; -1;1;0;1;50
202000000076;4;;0;;2;2;3;1;(1);(1);1;;4;1;9;6;50
202000000077;3;4;-1;;2;2;0;1;0;40;3;; -1;1;0;3;80
202000000078;1;6;-1;A;3;3;0;1;89;200;1;; -1;2;0;4;130
202000000079;1;660;0;;3;4;0;1;7;300;3;; -1;2;0;1;130
202000000080;1;2;0;;1;4;0;1;21;700;1;; -1;1;0;1;130
202000000081;2;3;0;;2;2;0;1;133;350;1;; -1;1;0;1;50
202000000082;3;203;0;D;2;2;0;1;3;350;1;; -1;1;9;4;70
202000000083;3;24;0;;2;2;0;2;17;420;3;; -1;1;0;3;70
202000000084;3;674;-1;;2;2;0;2;13;300;1;; -1;1;0;1;50
202000000085;3;420;-1;;2;2;0;1;7;300;1;; -1;1;9;1;50
202000000086;3;995;-1;;2;2;0;3;6;750;2;; -1;1;2;4;50
202000000087;3;1084;0;;3;1;0;1;6;715;1;; -1;1;0;1;50
202000000088;3;RD43;-1;;2;2;0;2;(1);(1);3;; -1;1;0;3;50
202000000089;3;150 E;-1;;2;2;0;1;(1);(1);3;; -1;1;0;1;50
202000000090;2;249;-1;N;1;1;0;2;16;100;1;; -1;2;3;3;80
202000000091;1;A7-Sens Marseille vers Lyon;0;;-1;3;0;1;265;500;1;; -1;1;0;1;90
202000000092;1;A55-Sens Martigues vers Marseille;0;;3;3;0;1;17;200;1;; -1;1;0;1;110
202000000093;1;51;0;;1;3;0;1;16;500;1;; -1;1;0;1;110
202000000094;3;188;0;;2;2;0;1;6;300;2;; -1;1;0;3;80
202000000095;2;86;0;;2;4;0;1;53;291;1;; -1;1;0;1;90
202000000096;1;13;0;;3;3;0;1;36;99;1;;14;1;0;1;130
202000000097;1;BDL;0;;1;2;0;2;0;349;3;; -1;1;2;1;50
202000000098;1;15;0;;3;4;0;1;4;900;1;;14;1;2;1;110
202000000099;1;86;0;;3;3;0;1;9;699;1;;10,5;1;0;1;90
202000000100;3;45;0;;2;2;0;2;1;600;1;; -1;1;0;1;50
202000000101;3;110;0;;2;2;0;1;0;0;1;; -1;1;0;1;50
202000000102;4;583;0;;2;2;0;1;0;0;2;; -1;1;5;3;50
202000000103;4;358;0;;3;2;0;1;0;0;1;; -1;1;0;1;50
202000000104;3;3;2;;2;2;0;2;0;0;4;; -1;1;0;3;50
202000000105;4;CARAMBOLES (DES);0;;2;2;0;1;23;0;1;; -1;2;0;1;50
202000000106;3;MACE (ROUTE GABRIEL);0;;2;2;0;2;0;0;1;; -1;1;0;1;50
202000000107;4;DE LA GARE(RUE);0;;2;2;0;1;0;0;1;; -1;1;0;1;50
202000000108;4;GENERAL FRERE (DU)                  (AV);0;;2;2;1;1;1;0;1;; -1;1;0;4;50
202000000109;4;PATRICE LUMUMBA (RUE);0;;1;1;0;1;(1);(1);1;;5;1;0;1;30
202000000110;4;JEAN MOULIN                         (QU);0;;3;6;0;1;0;0;1;; -1;1;0;1;50
202000000111;4;GRANDE RUE                          (GR);0;;2;4;3;2;0;1;1;; -1;1;0;1;50
202000000112;4;MARIETTON                           (R );0;;2;2;0;1;0;0;1;; -1;2;0;1;50
202000000113;4;BON PASTEUR (DU)                  AV;0;;2;4;0;3;0;0;3;; -1;2;1;2;50
202000000114;4;;0;;2;2;0;1;0;0;1;; -1;1;0;1;50
202000000115;4;BRETIGNY (AVENUE DE);0;;2;2;0;1;0;0;1;; -1;1;0;1;50
202000000116;4;JEAN MERMOZ (RUE);0;;-1;0;0;1;0;0;3;; -1;1;0;1;30
202000000117;4;DORDOGNE (AVENUE DE);0;;3;2;0;1;0;0;1;; -1;2;0;1;30
202000000118;4;;0;;2;2;0;1;0;0;1;; -1;2;0;1;50
202000000119;4;;0;;-1;2;0;1;0;0;1;; -1;1;0;1;50
202000000120;2;7;0;;-1;2;0;2;0;0;1;; -1;1;0;8;50
202000000121;4;;0;;1;2;0;1;0;0;2;; -1;2;9;1;30
202000000122;4;GARIBALDI (BOULEVARD DES);0;;1;2;0;1;0;0;1;; -1;2;0;1;50
202000000123;4;PONTEIX (AVENUE DU);0;;4;3;0;1;1;799;1;; -1;2;0;1;70
202000000124;4;PIERRE SEMARD (avenue);0;;2;4;1;1;0;1;1;; -1;1;0;1;50
202000000125;3;RD225  (route touristique);0;;2;2;0;1;0;1;1;; -1;1;0;1;70
202000000126;4;RUE HOSEPH DE MONTGOLFIER;0;;2;3;1;1;0;1;1;; -1;1;0;1;50
202000000127;3;900;0;;2;4;1;2;3;770;1;; -1;1;0;1;50
202000000128;4;NC;0;;2;2;0;1;0;0;1;; -1;1;0;1;50
202000000129;4;GRES ROSES (ALLEE DES);0;;1;1;0;1;0;0;1;; -1;1;9;8;30
202000000130;3;939;0;;2;2;0;2;0;1;1;; -1;1;5;1;50
