Num_Acc;categorie_route;regime_circulation;nombre_voies;profil_route;trace_route;etat_surface;situation_accident;vitesse_max_autorisee
202000000152;3;;2;3;2;1;3;
202000000153;2;2;2;1;1;1;3;80
202000000154;3;1;1;1;3;1;8;50
202000000155;2;2;2;2;3;1;1;80
202000000156;2;2;2;1;1;2;3;90
202000000157;3;2;1;1;1;1;1;
202000000158;3;2;2;2;3;2;1;
202000000159;7;2;2;2;3;1;1;80
202000000160;3;2;2;1;1;1;1;70
202000000161;3;;2;1;3;1;1;80
202000000162;4;2;2;1;1;1;1;70
202000000163;3;2;2;1;2;1;1;50
202000000164;3;1;1;1;2;1;1;30
202000000165;3;2;2;1;1;2;1;80
202000000166;2;3;4;1;1;1;1;110
202000000167;3;2;2;1;1;1;1;80
202000000168;1;3;4;1;2;1;3;110
202000000169;1;3;4;1;1;1;1;110
202000000170;1;1;1;2;3;2;1;50
202000000171;1;3;6;2;1;1;1;130
202000000172;1;3;4;1;1;1;1;110
202000000173;1;3;3;1;1;1;1;90
202000000174;1;1;3;1;1;1;1;90
202000000175;1;1;3;1;1;1;2;110
202000000176;1;1;3;2;1;1;1;110
202000000177;2;3;6;1;1;1;1;110
202000000178;2;3;2;1;1;1;1;90
202000000179;1;;2;3;1;1;1;90
202000000180;4;3;2;1;1;1;1;50
202000000181;4;1;0;1;1;1;1;50
202000000182;4;1;1;1;1;1;1;30
202000000183;4;1;1;1;1;1;1;50
202000000184;3;3;4;1;1;1;1;50
202000000185;9;1;1;1;2;2;8;50
202000000186;4;;0;1;1;1;8;50
202000000187;4;1;0;1;1;2;1;50
202000000188;4;2;1;1;1;1;1;50
202000000189;3;2;2;1;1;1;1;70
202000000190;1;1;0;1;1;1;1;90
202000000191;3;2;2;1;1;1;1;50
202000000192;3;1;1;1;3;1;1;50
202000000193;4;2;4;1;1;1;1;50
202000000194;3;1;4;1;2;1;1;70
202000000195;3;2;3;2;1;1;1;70
202000000196;4;1;4;1;1;1;1;50
202000000197;3;;2;2;1;2;1;50
202000000198;3;2;2;1;1;2;8;50
202000000199;6;;;1;1;1;1;50
202000000200;4;2;1;1;1;1;1;30
202000000201;3;2;2;1;1;1;1;50
202000000202;4;2;2;1;1;2;1;50
202000000203;4;2;2;1;1;1;1;50
202000000204;4;1;4;1;1;1;1;70
202000000205;4;1;4;1;1;1;1;70
202000000206;4;1;5;1;1;1;1;70
202000000207;4;;4;2;1;1;1;50
202000000208;4;2;6;1;1;1;1;50
202000000209;4;2;4;1;1;1;1;50
202000000210;4;2;2;1;1;1;1;50
202000000211;4;2;4;1;1;1;1;50
202000000212;4;1;1;1;1;1;1;50
202000000213;4;;2;2;1;1;1;50
202000000214;4;;1;1;1;1;5;50
202000000215;4;2;3;1;3;1;1;50
202000000216;4;2;4;1;1;1;5;30
202000000217;3;2;5;1;1;1;6;30
202000000218;3;2;2;1;1;1;1;50
202000000219;4;2;1;1;1;1;1;50
202000000220;3;1;1;1;2;1;1;50
202000000221;2;3;2;1;1;1;1;50
202000000222;3;2;2;1;1;1;1;50
202000000223;3;2;2;1;1;1;1;30
202000000224;4;1;1;1;1;1;1;50
202000000225;3;2;2;1;1;1;5;30
202000000226;3;2;4;2;1;2;1;50
202000000227;3;1;2;1;1;1;1;30
202000000228;3;3;6;3;1;2;1;50
202000000229;3;2;2;1;1;1;1;80
202000000230;3;2;2;1;1;1;1;50
202000000231;2;2;2;1;1;1;1;80
202000000232;2;3;2;1;1;1;1;90
202000000233;3;2;2;2;1;1;1;80
202000000234;3;3;2;1;1;1;1;50
202000000235;3;2;2;1;1;1;1;80
202000000236;3;3;2;3;1;1;1;80
202000000237;3;2;2;2;1;8;1;50
202000000238;3;2;2;2;2;2;1;90
202000000239;3;2;2;2;3;2;3;80
202000000240;3;2;2;1;1;1;1;80
202000000241;3;2;1;2;1;1;1;80
202000000242;3;2;2;2;2;1;1;50
202000000243;4;2;2;1;2;2;5;50
202000000244;3;2;2;1;2;1;1;50
202000000245;3;2;2;1;3;1;8;50
202000000246;3;2;2;3;3;2;1;80
202000000247;3;2;2;1;2;1;3;90
202000000248;3;2;2;1;1;1;3;90
202000000249;3;2;2;1;1;1;1;
202000000250;3;2;2;2;3;2;3;80
202000000251;3;2;2;1;1;1;1;50
202000000252;3;2;2;1;3;2;3;90
202000000253;3;2;1;1;1;2;1;50
202000000254;3;2;2;1;1;1;8;50
202000000255;3;2;2;1;1;1;1;50
202000000256;3;2;2;2;1;1;1;50
202000000257;3;2;2;1;4;1;1;80
202000000258;3;2;2;1;2;1;3;80
202000000259;3;2;2;2;1;1;3;80
202000000260;2;3;4;2;1;1;3;110
202000000261;3;2;2;1;1;1;1;80
202000000262;3;2;2;1;1;2;1;90
202000000263;4;2;2;1;4;1;3;80
202000000264;3;2;2;1;1;1;1;80
202000000265;4;1;1;2;1;1;1;50
202000000266;3;2;2;1;1;1;1;50
202000000267;4;2;2;2;2;1;1;80
202000000268;4;2;2;2;2;1;3;80
202000000269;1;3;4;1;1;1;3;110
202000000270;1;1;4;1;2;2;1;110
202000000271;2;2;2;3;3;1;1;80
202000000272;3;2;2;1;1;1;1;80
202000000273;3;2;2;1;3;1;3;80
202000000274;4;2;2;2;1;1;1;50
202000000275;4;2;2;1;1;1;1;50
202000000276;2;2;2;1;1;1;1;50
202000000277;4;2;2;1;1;1;8;50
202000000278;4;2;2;1;1;1;1;80
202000000279;3;2;2;1;1;1;1;80
202000000280;3;1;1;1;1;1;1;70
202000000281;3;2;2;1;1;1;1;80
202000000282;3;2;2;1;1;1;1;70
202000000283;4;2;2;1;1;1;1;50
202000000284;3;2;2;1;1;1;1;50
202000000285;3;2;1;1;1;1;4;50
202000000286;3;2;2;1;1;1;3;80
202000000287;3;2;2;1;1;2;1;50
202000000288;3;2;2;1;1;2;6;30
202000000289;3;2;2;1;1;1;1;80
202000000290;4;2;2;1;1;1;1;50
202000000291;3;2;2;1;1;1;1;50
202000000292;3;2;2;1;1;1;1;50
202000000293;3;2;2;1;1;1;3;80
202000000294;3;2;2;1;2;9;3;50
202000000295;3;2;2;1;1;1;1;50
202000000296;3;2;2;1;1;1;4;50
202000000297;4;2;2;1;1;1;1;50
202000000298;1;1;3;3;1;2;1;50
202000000299;1;3;4;1;1;2;1;90
202000000300;3;2;2;2;3;1;3;70
202000000301;4;3;2;1;1;1;5;50
202000000302;2;3;4;1;1;1;1;90
202000000303;4;2;7;1;1;1;1;50
202000000304;6;;0;1;1;1;8;20
202000000305;3;2;3;1;1;1;1;50
202000000306;4;2;2;1;1;1;1;50
202000000307;4;1;1;1;1;1;1;50
202000000308;3;2;2;1;1;1;6;30
202000000309;4;2;2;1;1;1;1;50
202000000310;4;2;2;1;1;1;1;50
202000000311;3;2;2;2;1;1;1;30
202000000312;4;2;2;1;1;1;1;50
202000000313;4;2;2;1;1;1;1;50
202000000314;7;2;1;1;1;1;1;50
202000000315;4;2;2;1;1;1;1;50
202000000316;3;2;2;1;2;1;1;80
202000000317;4;1;1;2;3;1;1;70
202000000318;4;2;4;4;1;1;1;50
202000000319;4;2;2;2;1;1;1;30
202000000320;4;3;4;1;1;1;1;50
202000000321;4;;4;2;1;1;1;50
202000000322;4;2;4;1;1;1;1;50
202000000323;4;2;3;1;1;1;6;50
202000000324;4;1;2;1;1;1;1;50
202000000325;4;;3;1;1;1;5;50
202000000326;4;3;2;1;1;1;1;50
202000000327;4;2;4;1;1;1;1;50
202000000328;4;2;2;1;1;1;1;50
202000000329;4;1;5;1;1;1;1;50
202000000330;4;3;8;1;1;1;1;70
202000000331;4;1;1;1;1;1;1;50
202000000332;4;1;2;1;1;1;1;50
202000000333;4;1;2;2;1;1;1;30
202000000334;4;1;3;1;1;1;5;50
202000000335;4;2;6;1;1;1;1;50
202000000336;4;1;4;1;1;1;1;50
202000000337;4;2;3;1;1;1;1;50
202000000338;4;2;2;1;1;1;1;50
202000000339;3;;;1;1;1;8;10
202000000340;4;1;1;1;1;1;1;50
202000000341;3;2;2;1;1;1;8;50
202000000342;3;1;1;1;1;1;1;30
202000000343;3;2;2;1;1;1;1;50
202000000344;3;3;4;1;1;1;1;50
202000000345;4;1;1;1;1;1;1;50
202000000346;3;;2;1;1;1;1;30
202000000347;4;1;4;1;1;1;1;50
202000000348;4;1;1;1;1;1;1;30
202000000349;3;2;2;1;1;1;1;50
202000000350;3;2;2;1;1;1;1;80
202000000351;3;2;2;1;2;1;1;50
202000000352;4;2;2;1;1;1;3;50
202000000353;3;2;2;1;1;1;8;50
202000000354;3;2;2;2;1;1;1;80
202000000355;3;2;2;2;1;1;1;50
202000000356;3;;2;2;2;1;3;50
202000000357;3;2;2;1;1;1;3;80
202000000358;3;2;2;1;1;1;1;80
202000000359;3;2;3;1;1;1;1;50
202000000360;3;2;2;1;1;1;1;80
202000000361;4;2;2;2;4;1;1;80
202000000362;4;2;2;2;3;1;3;
202000000363;4;2;2;2;1;1;3;80
202000000364;3;2;2;1;2;1;3;80
202000000365;3;2;2;1;1;1;1;80
202000000366;3;2;2;1;1;1;1;50
202000000367;3;2;2;1;1;1;1;50
202000000368;3;2;2;2;2;1;1;80
202000000369;3;2;2;1;1;1;3;80
202000000370;4;2;2;2;1;1;1;50
202000000371;3;2;2;1;2;1;1;50
202000000372;3;2;2;1;1;1;3;80
202000000373;3;2;2;2;1;1;1;50
202000000374;1;3;2;1;1;1;3;130
202000000375;1;3;4;1;1;1;1;110
202000000376;7;2;2;1;1;1;1;50
202000000377;1;1;2;1;3;1;2;50
202000000378;1;3;3;1;1;1;1;130
202000000379;4;3;2;1;1;1;1;30
202000000380;3;2;2;2;4;1;1;80
202000000381;3;2;2;1;2;1;1;80
202000000382;3;2;2;1;1;1;1;50
202000000383;3;2;2;2;3;1;8;80
202000000384;3;2;2;2;1;1;1;80
202000000385;3;2;2;2;1;1;3;80
202000000386;3;2;2;1;1;1;1;50
202000000387;3;3;4;1;1;1;1;110
202000000388;7;2;2;1;2;2;1;70
202000000389;4;2;2;1;3;1;1;80
202000000390;3;;2;1;3;1;1;50
202000000391;3;2;2;1;1;1;1;80
202000000392;3;1;1;2;3;1;1;90
202000000393;7;1;3;1;1;1;1;70
202000000394;1;3;4;1;1;1;1;90
202000000395;1;3;2;1;1;1;1;70
202000000396;2;1;4;1;1;1;1;110
202000000397;1;1;3;1;1;1;2;90
202000000398;1;3;3;1;1;1;1;110
202000000399;1;3;4;1;1;1;1;110
202000000400;1;3;7;1;1;1;1;110
202000000401;1;3;6;1;3;1;1;90
202000000402;1;3;8;1;1;1;1;90
202000000403;1;3;4;1;1;1;1;90
202000000404;4;2;2;3;3;1;1;50
202000000405;1;3;4;1;1;1;1;50
202000000406;3;3;4;2;3;1;1;90
202000000407;4;3;1;1;1;1;1;50
202000000408;4;2;2;2;3;1;1;50
202000000409;4;1;4;1;1;1;6;50
202000000410;4;2;3;1;1;1;1;50
202000000411;4;2;4;2;3;1;1;50
202000000412;1;1;3;1;1;1;1;90
202000000413;4;2;2;1;1;1;1;50
202000000414;3;2;2;1;1;1;1;50
202000000415;4;1;3;1;1;1;1;50
202000000416;2;3;5;1;1;1;1;50
202000000417;3;2;1;2;1;1;1;50
202000000418;2;2;3;1;1;1;1;50
202000000419;4;2;2;1;1;1;1;50
202000000420;4;2;2;1;1;1;1;50
202000000421;2;2;0;1;1;1;8;50
202000000422;4;2;2;2;3;1;1;50
202000000423;4;1;3;1;1;1;1;50
202000000424;3;2;2;2;3;1;1;50
202000000425;4;1;2;1;1;1;1;50
202000000426;3;2;4;1;1;1;1;90
202000000427;3;3;4;1;1;1;1;90
202000000428;3;2;2;1;1;1;1;50
202000000429;3;2;3;1;2;1;1;90
202000000430;3;1;2;1;1;1;1;110
202000000431;4;2;2;1;1;1;1;50
202000000432;3;2;2;1;1;2;1;50
202000000433;4;2;2;1;1;1;1;50
202000000434;4;1;1;1;2;1;1;50
202000000435;3;2;2;1;1;1;1;50
202000000436;4;2;3;1;1;1;1;50
202000000437;4;2;2;2;2;1;1;50
202000000438;4;2;2;1;1;1;1;50
202000000439;7;2;2;1;1;1;3;70
202000000440;7;2;2;1;1;1;1;50
202000000441;3;2;2;1;1;1;8;50
202000000442;4;3;1;1;1;1;6;50
202000000443;4;2;1;1;1;1;1;50
202000000444;4;2;2;1;1;1;1;50
202000000445;3;2;2;1;3;1;1;50
202000000446;4;4;2;3;1;1;1;50
202000000447;4;2;2;1;1;1;1;50
202000000448;4;1;1;1;3;1;1;50
202000000449;4;2;2;1;2;1;1;50
202000000450;4;2;2;1;1;1;1;90
202000000451;4;2;2;1;1;1;1;30
202000000452;4;1;1;1;1;1;1;1
202000000453;2;1;2;1;1;1;5;90
202000000454;3;2;1;1;1;1;1;
202000000455;4;1;1;1;1;1;1;50
202000000456;4;2;4;1;1;1;1;50
202000000457;4;1;3;1;1;1;8;50
202000000458;4;2;2;1;1;1;8;50
202000000459;2;1;2;1;1;1;1;50
202000000460;7;1;2;2;2;1;1;50
202000000461;4;2;2;1;2;2;1;50
202000000462;2;2;3;1;3;1;1;30
202000000463;3;2;2;1;1;2;1;50
202000000464;4;2;2;1;1;2;1;50
202000000465;4;4;3;1;1;1;1;50
202000000466;4;2;2;1;1;1;1;50
202000000467;4;1;1;2;1;1;1;50
202000000468;3;2;2;1;1;1;1;50
202000000469;3;2;2;2;1;1;1;50
202000000470;3;2;2;1;1;1;1;50
202000000471;4;2;2;1;1;1;1;80
202000000472;4;2;2;1;1;1;1;50
202000000473;4;1;1;2;1;1;1;30
202000000474;3;1;2;1;2;1;1;50
202000000475;4;2;5;1;1;1;1;50
202000000476;4;2;2;1;1;2;1;50
202000000477;4;2;2;2;1;1;1;50
202000000478;4;2;3;1;1;1;1;30
202000000479;4;3;2;1;1;1;1;50
202000000480;4;1;1;4;3;1;4;50
202000000481;7;4;0;1;2;2;1;50
202000000482;3;2;2;1;1;1;1;50
202000000483;4;2;1;2;1;2;1;50
202000000484;3;3;2;1;2;1;1;80
202000000485;4;2;2;1;1;1;1;50
202000000486;4;1;1;1;1;1;1;30
202000000487;4;2;3;2;1;2;1;50
202000000488;4;;2;1;1;1;1;50
202000000489;4;2;2;1;1;1;1;30
202000000490;4;3;0;1;2;1;1;50
202000000491;4;2;0;1;1;1;1;30
202000000492;4;1;1;2;1;1;1;50
202000000493;3;2;7;1;1;1;1;50
202000000494;3;1;2;1;1;1;1;50
202000000495;3;2;4;1;1;1;1;50
202000000496;4;1;1;1;1;1;1;30
202000000497;4;;1;1;1;1;1;50
202000000498;4;2;2;1;3;1;6;50
202000000499;4;2;2;1;2;1;1;50
202000000500;3;1;1;1;1;8;1;50
202000000501;4;1;1;1;1;1;1;50
202000000502;1;3;3;1;1;1;1;90
202000000503;4;1;0;1;1;1;1;50
202000000504;4;2;2;1;1;1;1;50
202000000505;3;1;1;1;1;1;1;50
202000000506;3;2;2;2;1;1;1;80
202000000507;4;2;2;1;1;1;1;50
202000000508;3;1;1;1;2;1;1;50
202000000509;3;2;2;1;1;1;1;30
202000000510;4;2;2;1;1;1;1;50
202000000511;3;2;2;1;1;1;1;50
202000000512;4;1;2;1;1;1;1;50
202000000513;4;2;2;1;1;1;1;50
202000000514;7;2;1;1;1;1;1;30
202000000515;3;2;2;1;1;1;1;50
202000000516;4;1;4;1;2;1;1;70
202000000517;4;2;3;1;1;1;1;50
202000000518;4;2;2;1;1;1;1;50
202000000519;4;2;2;1;1;1;1;50
202000000520;4;4;5;2;1;1;1;50
202000000521;4;1;2;1;2;1;1;50
202000000522;4;1;2;2;1;1;1;50
202000000523;4;1;4;2;1;1;5;50
202000000524;4;1;1;1;1;1;1;30
202000000525;4;1;2;1;1;1;1;50
202000000526;4;2;2;1;1;1;5;50
202000000527;4;2;2;1;1;1;1;50
202000000528;4;1;1;1;1;1;5;30
202000000529;4;1;1;2;1;1;5;50
202000000530;4;;2;1;1;1;4;50
202000000531;3;2;4;1;1;1;1;50
202000000532;3;2;0;1;1;1;5;50
202000000533;4;2;2;1;1;1;1;50
202000000534;3;2;4;1;1;1;1;50
202000000535;3;2;2;1;1;1;1;50
202000000536;4;1;1;1;1;;1;50
202000000537;3;;2;1;1;1;1;50
202000000538;3;2;2;1;1;1;1;50
202000000539;4;2;2;1;1;1;1;50
202000000540;3;2;4;1;1;1;1;50
202000000541;3;2;2;1;1;1;4;50
202000000542;3;3;4;1;1;1;1;50
202000000543;3;1;3;1;1;1;1;50
202000000544;3;1;2;1;1;1;1;50
202000000545;4;2;3;1;1;1;1;50
202000000546;4;;1;1;1;1;1;50
202000000547;4;2;2;1;1;1;1;50
202000000548;4;1;1;1;1;1;1;50
202000000549;3;3;2;1;1;1;4;50
202000000550;3;2;2;1;1;1;1;50
202000000551;3;2;2;1;3;1;4;50
202000000552;2;3;2;1;2;1;1;50
202000000553;3;2;2;1;3;1;1;50
202000000554;3;2;2;1;3;2;1;70
202000000555;3;2;2;2;3;1;3;80
202000000556;3;2;2;2;4;1;1;80
202000000557;3;2;2;1;1;1;1;70
202000000558;3;2;2;1;3;1;3;80
202000000559;3;2;2;1;3;1;1;80
202000000560;3;2;2;1;1;1;3;80
202000000561;3;2;1;1;2;1;3;80
202000000562;3;2;2;2;1;1;1;80
202000000563;3;2;2;1;1;1;1;90
202000000564;3;2;2;1;1;1;3;80
202000000565;4;2;2;2;1;1;1;50
202000000566;3;2;2;2;1;1;3;80
202000000567;4;2;2;2;1;6;1;80
202000000568;3;2;2;1;2;1;1;80
202000000569;3;2;2;1;1;1;1;80
202000000570;3;2;2;1;1;1;1;80
202000000571;9;1;1;1;1;1;1;30
202000000572;3;2;2;2;1;1;1;90
202000000573;3;2;2;1;3;2;3;80
202000000574;3;2;2;1;1;1;1;80
202000000575;3;2;2;1;1;1;1;80
202000000576;3;2;2;2;2;1;3;80
202000000577;3;2;2;1;1;1;1;
202000000578;3;2;2;2;1;2;3;80
202000000579;3;2;2;1;1;2;1;50
202000000580;4;2;2;1;1;1;1;50
202000000581;3;1;1;1;1;1;6;50
202000000582;1;3;3;1;1;1;1;90
202000000583;1;3;6;2;1;1;1;130
202000000584;1;3;3;1;1;2;1;110
202000000585;1;3;4;1;1;1;1;110
202000000586;1;1;1;1;1;1;1;50
202000000587;1;1;3;1;1;1;1;110
202000000588;1;3;2;1;1;1;1;110
202000000589;1;3;6;1;1;1;1;110
202000000590;1;1;2;1;1;1;1;110
202000000591;1;3;6;1;1;1;1;90
202000000592;1;3;8;1;3;1;1;110
202000000593;1;1;3;1;1;1;3;90
202000000594;1;1;3;1;1;2;1;90
202000000595;3;2;2;1;1;1;1;50
202000000596;2;2;3;1;1;1;1;50
202000000597;3;2;2;1;1;1;1;50
202000000598;3;2;2;1;1;1;1;70
202000000599;4;2;2;1;1;1;1;50
202000000600;3;3;6;1;1;1;1;50
202000000601;3;2;2;1;1;1;1;70
202000000602;3;;2;1;2;2;1;50
202000000603;4;2;2;2;1;1;1;50
202000000604;4;1;2;1;3;1;1;50
202000000605;4;2;2;1;1;1;1;50
202000000606;4;3;5;2;1;1;1;70
202000000607;3;2;2;1;2;1;1;80
202000000608;3;2;2;1;3;1;1;80
202000000609;3;;2;1;1;1;1;80
202000000610;1;3;4;1;1;1;1;130
202000000611;2;2;2;1;3;1;1;40
202000000612;1;3;4;2;3;1;1;130
202000000613;1;1;5;1;1;1;1;130
202000000614;4;2;2;4;3;1;1;80
202000000615;3;2;2;1;1;1;1;90
202000000616;3;2;2;1;2;1;3;80
202000000617;3;2;2;4;2;1;3;50
202000000618;3;2;2;1;1;1;5;30
202000000619;2;2;2;2;1;1;1;80
202000000620;3;2;2;1;1;1;1;80
202000000621;3;2;2;2;2;1;1;50
202000000622;3;1;1;1;1;1;5;50
202000000623;4;2;2;1;3;2;5;
202000000624;4;2;2;1;1;1;1;50
202000000625;3;2;2;4;2;1;1;80
202000000626;4;2;2;1;2;1;3;70
202000000627;3;2;2;1;1;1;3;80
202000000628;1;1;0;1;1;1;1;70
202000000629;1;3;8;1;1;1;1;90
202000000630;3;1;3;1;1;1;1;70
202000000631;2;3;3;1;1;1;1;90
202000000632;2;1;3;1;1;1;1;90
202000000633;1;3;8;1;1;1;1;90
202000000634;2;3;2;1;3;2;1;50
202000000635;3;3;4;1;1;2;1;50
202000000636;1;3;7;1;1;1;1;90
202000000637;1;3;9;1;1;1;1;90
202000000638;1;3;6;1;1;1;1;110
202000000639;3;2;2;1;1;1;1;50
202000000640;3;2;2;1;1;1;1;50
202000000641;4;2;3;1;1;1;1;50
202000000642;4;2;2;1;1;1;1;50
202000000643;4;1;1;1;1;1;1;50
202000000644;4;;4;1;1;1;1;50
202000000645;4;1;1;4;1;1;1;30
202000000646;4;2;2;1;1;1;1;50
202000000647;4;2;3;1;3;1;1;50
202000000648;4;3;2;1;1;1;1;50
202000000649;4;2;2;1;1;1;1;50
202000000650;2;1;2;1;1;1;1;50
202000000651;4;4;2;1;1;1;1;50
202000000652;3;2;6;1;1;1;1;50
202000000653;4;2;4;1;1;1;1;50
202000000654;4;2;2;1;1;1;1;50
202000000655;4;2;3;1;1;1;1;50
202000000656;3;3;5;2;1;1;1;90
202000000657;4;2;2;1;1;2;1;50
202000000658;3;2;3;2;1;1;1;30
202000000659;2;3;4;1;1;1;1;110
202000000660;3;2;4;1;1;1;1;50
202000000661;4;2;2;1;1;1;1;50
202000000662;4;;2;1;1;1;1;50
202000000663;4;;2;1;1;1;1;50
